rc_id,status,task_ids,tags,evidence_type,evidence_required,evidence_links,blocked,blocker,source_spec,source_number,source_text_sha256,notes
RC-0012,TESTED,TASK-RC-0012,TRACE,CONTRACT_TEST_OR_REVIEW,YES,requirements/contracts/rc0011_rc0012_location_identity_contract.json|tools/requirements/validate_rc0011_rc0012_location_identity.py|lib/src/data/location/city_catalog.dart|test/data/city_catalog_test.dart|tools/location/validate_city_catalog_contract.py|requirements/data_manifests/cities.json|.github/workflows/rc0011-rc0012-location-identity.yml,YES,"End-to-end birth-place selection UI/runtime must prove the selected stable city identity, coordinates and IANA timezone are propagated together without ambiguity before VERIFIED/DONE.",RUH_CODE_MASTER_SARTNAME.md,12,3252a1b4708c65405964c99b6af562d18cb9592885905b7a96ff0ee0af197957,Machine gate proves same-name city records retain distinct stable ids and visible admin/country disambiguation and regression coverage. End-to-end selection UI evidence remains required.
RC-0013,TESTED,TASK-RC-0013,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0013_common_astronomy_core_contract.json|tools/requirements/validate_rc0013_common_astronomy_core.py|lib/src/calculation_core/ephemeris/ephemeris.dart|lib/src/calculation_core/ephemeris/de440s_asset_loader.dart|lib/src/calculation_core/ephemeris/de440s_daf_parser.dart|lib/src/calculation_core/ephemeris/spk_type2_evaluator.dart|lib/src/calculation_core/ephemeris/spk_body_graph_evaluator.dart|test/calculation_core/ephemeris_contract_test.dart|test/calculation_core/de440s_asset_loader_test.dart|test/calculation_core/de440s_daf_parser_test.dart|test/calculation_core/de440s_type2_runtime_test.dart|test/calculation_core/de440s_body_graph_runtime_test.dart|test/calculation_core/de440s_jpl_horizons_accuracy_test.dart|.github/workflows/rc0013-common-astronomy-core.yml,YES,"RC-0014→RC-0016 and broader astronomy golden/tolerance coverage must prove the shared core across required bodies, lunar nodes and motion-state outputs before VERIFIED/DONE.",RUH_CODE_MASTER_SARTNAME.md,13,266023720cca99ce8f72dc02e54c9c2bf8b0b48156caf29784873e59fca9bfc8,"Dedicated machine gate proves a shared versioned offline ephemeris core is executable through packaged DE440s DAF/SPK parsing, Type-2 evaluation and body-graph evaluation, with compiled contract and JPL Horizons accuracy regression. This proves RC-0013 to TESTED only."
RC-0014,TESTED,TASK-RC-0014,CALC|RELEASE,GOLDEN_OR_CONTRACT_TEST|RELEASE_ARTIFACT_EVIDENCE,YES,requirements/contracts/rc0014_physical_body_positions_contract.json|tools/requirements/validate_rc0014_physical_body_positions.py|lib/src/calculation_core/ephemeris/de440s_ephemeris_provider.dart|lib/src/calculation_core/ephemeris/spk_body_graph_evaluator.dart|test/calculation_core/de440s_ephemeris_provider_test.dart|test/calculation_core/de440s_jpl_horizons_accuracy_test.dart|.github/workflows/rc0014-physical-body-positions.yml,YES,Independent official multi-body JPL/Horizons longitude/latitude golden coverage and later release accuracy gates remain required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,14,90d54830a080c1050f5f62db7b44452cf2b6da921a5d221a6a3483d267b5e929,"Machine gate executes all ten RC-0014 physical bodies through the packaged DE440s provider, producing finite geocentric J2000-ecliptic position, distance and physical longitude velocity. Independent Earth/SSB JPL kernel golden also remains in the gate. This proves RC-0014 to TESTED only."
RC-0015,TESTED,TASK-RC-0015,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0015_lunar_nodes_contract.json|tools/requirements/validate_rc0015_lunar_nodes.py|lib/src/calculation_core/ephemeris/lunar_node_calculator.dart|lib/src/calculation_core/ephemeris/de440s_ephemeris_provider.dart|test/calculation_core/lunar_node_calculator_test.dart|.github/workflows/rc0015-lunar-nodes.yml,YES,"Independent authoritative multi-epoch mean/true lunar-node golden vectors, frame/equinox semantics review, and end-to-end integration into every astrology system that consumes nodes remain required before VERIFIED/DONE.",RUH_CODE_MASTER_SARTNAME.md,15,f94515b2816cb09bf1eca4ca58183b5909e002349bf4d31cf4de0c2412592383,"Machine gate proves deterministic TT-based mean/true lunar ascending-node calculations, exact opposite descending node, normalization, and fail-closed non-finite inputs while keeping nodes outside physical SPK-body mapping. TESTED only."
RC-0016,TESTED,TASK-RC-0016,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0016_retrograde_motion_contract.json|tools/requirements/validate_rc0016_retrograde_motion.py|lib/src/calculation_core/ephemeris/ephemeris.dart|lib/src/calculation_core/ephemeris/de440s_ephemeris_provider.dart|test/calculation_core/retrograde_motion_test.dart|test/calculation_core/de440s_ephemeris_provider_test.dart|.github/workflows/rc0016-retrograde-motion.yml,YES,Independent official multi-epoch planetary apparent-motion golden coverage and broader release astronomy accuracy gates remain required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,16,89565f9942d6b0d1d67cc1ebd0dc270d42a546387d21645ee8659c57effe8ef3,"Machine gate proves direct/stationary/retrograde classification is computed from signed finite geocentric ecliptic longitude velocity, including packaged DE440s physical velocity states and explicit fail-closed stationary threshold behavior. TESTED only."
RC-0017,TESTED,TASK-RC-0017,TRACE,CONTRACT_TEST_OR_REVIEW,YES,requirements/contracts/rc0017_julian_time_core_contract.json|tools/requirements/validate_rc0017_julian_time_core.py|lib/src/calculation_core/time/julian_day.dart|test/calculation_core/julian_day_test.dart|requirements/reference_sources/julian_day.json|tools/time/validate_julian_day_contract.py|.github/workflows/rc0017-julian-time-core.yml,YES,Broader astronomical timescale accuracy/release evidence required by later requirements remains open.,RUH_CODE_MASTER_SARTNAME.md,17,55ffd97171bc0177b93ff6159810cef7f17ca1a03c9a22f1ae17a35beee661a8,Machine gate proves central Julian Day/MJD/J2000 conversion code against USNO/J2000 reference regressions. Broader astronomical timescale/release evidence remains required before VERIFIED/DONE.
RC-0018,TESTED,TASK-RC-0018,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0018_asc_mc_contract.json|tools/requirements/validate_rc0018_asc_mc.py|lib/src/calculation_core/western/asc_mc.dart|lib/src/calculation_core/time/sidereal_time.dart|test/calculation_core/western/asc_mc_test.dart|test/calculation_core/sidereal_time_test.dart|.github/workflows/rc0018-asc-mc.yml,YES,"Independent authoritative multi-epoch/multi-location ASC/MC golden vectors, end-to-end validated civil-time→UT1/TT/location propagation, and broader release astronomy accuracy gates remain required before VERIFIED/DONE.",RUH_CODE_MASTER_SARTNAME.md,18,2a0af9a2981050a9c3f830f591bbd6c1df0fa41c7d03584beeedc94a8289417b,"Machine gate proves deterministic tropical ASC/MC geometry consumes explicit UT1/TT plus validated longitude/latitude inputs, central sidereal-time runtime, IAU 2006 mean obliquity, normalization and fail-closed geographic-pole/input behavior. TESTED only."
RC-0019,TESTED,TASK-RC-0019,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0019_house_cusps_contract.json|tools/requirements/validate_rc0019_house_cusps.py|lib/src/calculation_core/western/asc_mc.dart|lib/src/calculation_core/western/placidus_houses.dart|lib/src/calculation_core/western/porphyry_houses.dart|test/calculation_core/western/placidus_houses_test.dart|test/calculation_core/western/porphyry_houses_test.dart|.github/workflows/rc0019-house-cusps.yml,YES,Independent authoritative multi-location/multi-epoch Placidus cusp golden vectors and end-to-end birth-input→angles→12-cusp propagation remain required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,19,a80a0024bd0f7cb412c797e1e818ee5c21fc7170ac036cf47d428dd28d0b51b7,"Machine gate proves 12 real house-start longitudes are generated through deterministic Placidus spherical/iterative geometry with ASC/MC angular cusps, opposite-cusp invariants, ordered-cycle validation, and explicit visible Porphyry fallback only when requested. TESTED only."
RC-0020,NOT_STARTED,TASK-RC-0020,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,20,9c31e40021da13706842115a67ca713293cbe166cf1c854526a441a673e0273a,Initialized from binding specification; not individually proven DONE.
RC-0021,TESTED,TASK-RC-0021,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0021_real_moon_phase_contract.json|tools/requirements/validate_rc0021_real_moon_phase.py|lib/src/calculation_core/lunar/moon_phase.dart|lib/src/calculation_core/ephemeris/de440s_ephemeris_provider.dart|lib/src/calculation_core/ephemeris/de440s_asset_loader.dart|test/calculation_core/moon_phase_test.dart|test/calculation_core/rc0021_real_moon_phase_test.dart|.github/workflows/rc0021-real-moon-phase.yml,YES,Independent authoritative multi-epoch lunar phase/illumination golden vectors and end-to-end display integration remain required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,21,670f600e93c25ef105875cf1e8a0fbc8b3f44f8942770751a6e0b48d26dc6bb7,Machine gate proves Moon phase/illumination are derived from same-instant Sun/Moon astronomical longitude states and compiled against the packaged NASA/JPL DE440s provider. TESTED only.
RC-0022,TESTED,TASK-RC-0022,CALC|CONTENT,GOLDEN_OR_CONTRACT_TEST|CONTENT_REVIEW,YES,requirements/contracts/rc0022_astronomy_interpretation_boundary_contract.json|tools/requirements/validate_rc0022_astronomy_interpretation_boundary.py|lib/src/calculation_core/calculation_engine.dart|lib/src/interpretation/interpretation_engine.dart|.github/workflows/rc0022-astronomy-interpretation-boundary.yml,YES,End-to-end feature-level dependency graph and release integration review remain required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,22,6914fcebc6e2f3dfc01893fb3ef8a05d468c77d8b7723c8d8a8b84c27f951051,Machine gate scans the complete calculation_core and interpretation Dart trees for forbidden cross-boundary imports and proves separate CalculationEngine/CalculationResult versus snapshot-based InterpretationEngine contracts. TESTED only.
RC-0023,TESTED,TASK-RC-0023,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0023_western_engine_contract.json|tools/requirements/validate_rc0023_western_engine.py|lib/src/calculation_core/western/western_astrology_engine.dart|lib/src/calculation_core/western/natal_chart.dart|test/calculation_core/western/western_astrology_engine_test.dart|test/calculation_core/western/natal_chart_test.dart|.github/workflows/rc0023-western-engine.yml,YES,End-to-end birth-input→ephemeris→houses→western engine→UI integration and broader golden/release gates remain required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,23,7fa63f3026587a914a87e825bc572de5f39e23f9b4dd31a256f8004f619a91db,Machine gate proves Batı astrolojisi CalculationEngine sözleşmesini uygulayan ayrı western-astrology motoru üzerinden WesternNatalChart üretir; foreign-engine manifest ve provenance data-version mismatch fail-closed davranır. TESTED only.
RC-0024,NOT_STARTED,TASK-RC-0024,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,24,2397f233abee6863122c12941998ccf61d4995ad22cea3d5e58fdc6702efaaf9,Initialized from binding specification; not individually proven DONE.
RC-0025,NOT_STARTED,TASK-RC-0025,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,25,7928668d91de1f8a969ddecd3ccc9615445cf1114c55a4e457371e417a48de2c,Initialized from binding specification; not individually proven DONE.
RC-0026,NOT_STARTED,TASK-RC-0026,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,26,fd1604746f72af43058c07da3752826b1abb4405d370626462f00a3e582763a5,Initialized from binding specification; not individually proven DONE.
RC-0027,NOT_STARTED,TASK-RC-0027,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,27,03b134cacc8631e9fb6b8d2b12e79d3867dd4570198004a4ab931c4dd38d9f2d,Initialized from binding specification; not individually proven DONE.
RC-0028,NOT_STARTED,TASK-RC-0028,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,28,d2aebfddbd7dd0642fb6806721808ee717a0d49f894fde70547635f09aa0456e,Initialized from binding specification; not individually proven DONE.
RC-0029,NOT_STARTED,TASK-RC-0029,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,29,043bade47029a81614dc846feb8fe753e241f9e8554a6fc08bf280c16ca1b89e,Initialized from binding specification; not individually proven DONE.
RC-0030,NOT_STARTED,TASK-RC-0030,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,30,823d0276f9829cacc625c544f5991c6fa16e946714013841fd66a7cc1e45982a,Initialized from binding specification; not individually proven DONE.
RC-0031,NOT_STARTED,TASK-RC-0031,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,31,5c19ed6c1a5de0c5ee9d38f193adbe5eb31f2dbdfb0d36ade169336cca07e254,Initialized from binding specification; not individually proven DONE.
RC-0032,NOT_STARTED,TASK-RC-0032,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,32,2222dd4e72479f0e3b55ffd7d0d5fbc16d241da409d865664b71af8d5830fa76,Initialized from binding specification; not individually proven DONE.
RC-0033,NOT_STARTED,TASK-RC-0033,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,33,b16e85bf10f1d43fcad117b661675cf99ddbf2a5bdbc08fcb371ff61364de84d,Initialized from binding specification; not individually proven DONE.
RC-0034,NOT_STARTED,TASK-RC-0034,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,34,460fc27ef21a9bef18eb31c5b56e24ffbfba16116542f57f9b5323ebe8e4fa4b,Initialized from binding specification; not individually proven DONE.
RC-0035,NOT_STARTED,TASK-RC-0035,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,35,6a762e4e636c89ee6d1896b7231f03511614244e8642eab96e2a619b4d5b70b1,Initialized from binding specification; not individually proven DONE.
RC-0036,NOT_STARTED,TASK-RC-0036,CALC|RELEASE,GOLDEN_OR_CONTRACT_TEST|RELEASE_ARTIFACT_EVIDENCE,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,36,973124a37fcc5f233f677f9f9e3423ed38447e67f4d88b4dbaafae829d7e8753,Initialized from binding specification; not individually proven DONE.
RC-0037,NOT_STARTED,TASK-RC-0037,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,37,5f25283b4628a240681df6b56700b7c2604022c62d4c1e30776d3e0141804472,Initialized from binding specification; not individually proven DONE.
RC-0038,NOT_STARTED,TASK-RC-0038,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,38,1217c3c1306df0d45235421d1b0a9d09b6db50d0122cccaecfa7d18153fcfb92,Initialized from binding specification; not individually proven DONE.
RC-0039,NOT_STARTED,TASK-RC-0039,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,39,e7f4cda7686550135d25d5d0a593953b2c85ed981d54700aa73d108592e7d1d3,Initialized from binding specification; not individually proven DONE.
RC-0040,NOT_STARTED,TASK-RC-0040,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,40,0f06f614a3c603c36728e9edbb41e85f09aba1acd6f0116a05b314611dccd8ee,Initialized from binding specification; not individually proven DONE.
RC-0041,NOT_STARTED,TASK-RC-0041,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,41,f007ec243fb2173dcb14fc03bf0ac4d3f217c99a46ce9960f383e19abef48520,Initialized from binding specification; not individually proven DONE.
RC-0042,NOT_STARTED,TASK-RC-0042,ENTITLEMENT,ENTITLEMENT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,42,00f1c522f620d71814442781d144d57af02a6180d56a3e467ca8b5e53b3043cf,Initialized from binding specification; not individually proven DONE.
RC-0043,NOT_STARTED,TASK-RC-0043,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,43,92145cd4da524ae6fa463a3fde5637dbc2af458e4741ea8c0cd00584f284136c,Initialized from binding specification; not individually proven DONE.
RC-0044,NOT_STARTED,TASK-RC-0044,CALC|ENTITLEMENT,GOLDEN_OR_CONTRACT_TEST|ENTITLEMENT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,44,9c9ae25a291f96670c7c6e49f916f766a6e1c196b6e0c69c718c6447681be87e,Initialized from binding specification; not individually proven DONE.
RC-0045,NOT_STARTED,TASK-RC-0045,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,45,3d29f3b4de666f498bfad2be237b20b481ccc3582d3e41a06854b62b366b751d,Initialized from binding specification; not individually proven DONE.
RC-0046,NOT_STARTED,TASK-RC-0046,TRACE,CONTRACT_TEST_OR_REVIEW,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,46,f9dd006709de55a25dc423921b8036d1b0f2d58e0530fe68acb00587b2bfa74d,Initialized from binding specification; not individually proven DONE.
RC-0047,NOT_STARTED,TASK-RC-0047,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,47,01f0f663ea1f0ef150ce39b20d2f05af7d5a332dc8e5d74ed1ecd261037ccc23,Initialized from binding specification; not individually proven DONE.
RC-0048,NOT_STARTED,TASK-RC-0048,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,48,bd69be589e93d5d47f175daaf371c6a46c423cb46bd67498904375dd8a7d6369,Initialized from binding specification; not individually proven DONE.
RC-0049,NOT_STARTED,TASK-RC-0049,CALC|RELEASE,GOLDEN_OR_CONTRACT_TEST|RELEASE_ARTIFACT_EVIDENCE,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,49,72cf1cf4c8f4c792dfb05aa72f0f399ab7be01f1b0cc4336fc85ebecb40b9ecb,Initialized from binding specification; not individually proven DONE.
RC-0050,NOT_STARTED,TASK-RC-0050,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,50,51f24e75972c9d1e0bb6a8ea78603292e39038ddf02b217b4492574dd9989451,Initialized from binding specification; not individually proven DONE.
RC-0051,NOT_STARTED,TASK-RC-0051,TRACE,CONTRACT_TEST_OR_REVIEW,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,51,105c0d9d338c665f8b5509bc0776945d1c3884b79c79d865c473829e7006fcce,Initialized from binding specification; not individually proven DONE.
RC-0052,NOT_STARTED,TASK-RC-0052,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,52,56623fcd87dd35668d4defc2a67f3dae28e35531580f548a269a61e3beee36b4,Initialized from binding specification; not individually proven DONE.
RC-0053,NOT_STARTED,TASK-RC-0053,TRACE,CONTRACT_TEST_OR_REVIEW,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,53,a0bd8ee9de0dd67778e814eed1ce2d14c6e249f096c13a4ab295120d51d1ef7b,Initialized from binding specification; not individually proven DONE.
RC-0054,NOT_STARTED,TASK-RC-0054,CALC|RELEASE,GOLDEN_OR_CONTRACT_TEST|RELEASE_ARTIFACT_EVIDENCE,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,54,54d660a13595894efee6af23b32cd3204468d9f847003362099ed037bdc3babc,Initialized from binding specification; not individually proven DONE.
RC-0055,NOT_STARTED,TASK-RC-0055,CALC|RELEASE,GOLDEN_OR_CONTRACT_TEST|RELEASE_ARTIFACT_EVIDENCE,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,55,d660492ca1c5b20d2658b6ded2a53a3e99a043603f3e33391a11f76ae4e243ef,Initialized from binding specification; not individually proven DONE.
RC-0056,NOT_STARTED,TASK-RC-0056,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,56,d601b538d4c38b2d180c1026d0935d57433ab01830457a6428616a527be47b88,Initialized from binding specification; not individually proven DONE.
RC-0057,NOT_STARTED,TASK-RC-0057,TRACE,CONTRACT_TEST_OR_REVIEW,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,57,c1e6aed5263788891299b3b40916f3d6f02d90a3c9666a5cbfbf42707f1a4d4c,Initialized from binding specification; not individually proven DONE.
RC-0058,NOT_STARTED,TASK-RC-0058,TRACE,CONTRACT_TEST_OR_REVIEW,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,58,f29a7140905a9dbb913ed94eef66c66589beb1630d3af1016f9816c7aa9053d0,Initialized from binding specification; not individually proven DONE.
RC-0059,NOT_STARTED,TASK-RC-0059,TRACE,CONTRACT_TEST_OR_REVIEW,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,59,f8c964e9ac8c8131eb4fb52d96992d302bedc48be3b73127222f0d61fb1177f4,Initialized from binding specification; not individually proven DONE.
