"date","locale","title","teaser","full_text","theme_tag"
"2028-11-11","tr","Bir Beklentiyi Soruya Dönüştür","Karşındakinin ne yapacağını varsaymak yerine sormak yanlış anlaşılmayı azaltır.","Bugün birinden beklediğin şeyi zihninde büyütmek yerine açık bir soruya dönüştür. Cevap vermesi için de alan bırak.","relationships"
"2028-11-12","tr","Bir Günlük Hedefi Üçe İndir","Çok sayıda hedef, önemli olanı görünmez hale getirebilir.","Bugün yapılacaklar listesinden yalnız üç sonucu ana hedef olarak seç. Diğer işleri mümkünse bu üçünden sonra ele al.","focus"
"2028-11-13","tr","Bir Hatanın Tekrarını Önleyecek Sistemi Kur","Aynı hatayı yalnız iradeyle önlemek zor olabilir.","Bugün yakın zamanda yaptığın bir hatayı seç ve onu tekrar etmeyi zorlaştıracak küçük bir sistem ekle. Hatırlatıcı, kontrol listesi ya da varsayılan ayar kullanabilirsin.","systems"
"2028-11-14","tr","Dinlenmeyi Kalan Zamana Bırakma","Dinlenme yalnız işler biterse hak edilen bir ödül olmak zorunda değildir.","Bugün dinlenmek için belirli bir zaman aralığı ayır. Bu zamanı programın boşluğuna değil, programın gerçek bir parçasına yerleştir.","rest"
"2028-11-15","tr","Bir Konuyu Tek Kaynaktan Öğrenme","Tek bir anlatım, konunun sınırlarını fark etmeyi zorlaştırabilir.","Bugün önemli bir konuda ikinci bir güvenilir kaynak bul. İki kaynağın aynı ve farklı söylediği noktaları ayır.","learning"
"2028-11-16","tr","Bir Şeye Geç Cevap Vermeyi Seç","Hızlı cevap her zaman iyi cevap değildir.","Bugün seni geren bir mesaj veya talep geldiğinde mümkünse kısa bir bekleme süresi koy. Cevabını sakinleşince yeniden oku ve öyle gönder.","emotional_regulation"
"2028-11-17","tr","Çevrendeki Bir Fazlalığı Kaldır","Gözün sürekli gördüğü dağınıklık fark etmeden dikkat tüketebilir.","Bugün çalışma veya yaşam alanından tek bir gereksiz yığını temizle. Büyük düzenleme yerine görünür bir alanı tamamla.","decluttering"
"2028-11-18","tr","Bir Sorumluluğun Sahibini Netleştir","İki kişinin de diğerinin yapacağını düşündüğü işler kolayca ortada kalır.","Bugün ortak yürüyen bir işte kimin neyi yapacağını açıklaştır. Mümkünse görev, kişi ve zamanı tek cümlede netleştir.","coordination"
"2028-11-19","tr","Bir Seçeneğin Fırsat Maliyetini Gör","Bir şeye evet demek çoğu zaman başka bir şeye hayır demektir.","Bugün önemli bir seçenek için bunu seçersem neye daha az zaman, para veya dikkat kalacak sorusunu cevapla.","decision_making"
"2028-11-20","tr","Bedenindeki İlk Yorgunluk İşaretini Fark Et","Yorgunluk çoğu zaman tamamen tükenmeden önce küçük işaretler verir.","Bugün gün içinde enerji düşüşünün ilk fiziksel işaretini fark etmeye çalış. O anda kısa bir mola, su veya hareket ekle.","body_awareness"
"2028-11-21","tr","Bir İşi Daha Görünür Hale Getir","Belirsiz görevler ertelenmeye daha yatkındır.","Bugün projeyle ilgilen gibi geniş bir işi somut bir fiile çevir. Ne açacağını, ne yazacağını veya neyi teslim edeceğini belirle.","task_clarity"
"2028-11-22","tr","Bir Eski Kaydı Gözden Geçir","Geçmiş notlar bugünkü kararlarını yeniden değerlendirmek için iyi bir ayna olabilir.","Bugün eski bir not, hedef listesi veya takvim kaydına bak. O zamanki önceliklerin içinden hâlâ geçerli olanları ve artık olmayanları ayır.","review"
"2028-11-23","tr","Bir Görüş Ayrılığında Ortak Noktayı Bul","Aynı fikirde olmamak, hiçbir ortak zemin olmadığı anlamına gelmez.","Bugün yaşadığın bir görüş ayrılığında önce üzerinde anlaştığınız tek noktayı bul. Sonraki konuşmayı o ortak zeminden sürdür.","conflict_resolution"
"2028-11-24","tr","Bir Alışkanlığın Tetikleyicisini Değiştir","Davranışın kendisini zorlamak yerine onu başlatan koşulu değiştirmek daha etkili olabilir.","Bugün sürdürmek istediğin bir alışkanlığın tetikleyicisini belirle. Onu daha görünür, daha kolay veya mevcut rutine daha yakın hale getir.","habits"
"2028-11-25","tr","Bir İyi Sonucu Kayda Geçir","İlerleme yalnız sorunları takip ederek görünür olmaz.","Bugün son günlerde iyi giden küçük bir sonucu yaz. Neyi doğru yaptığını belirt ki aynı davranışı tekrar etmek kolaylaşsın.","progress"
"2028-11-26","tr","Bir Talebe Otomatik Evet Deme","Hemen kabul etmek sonradan taşıyamayacağın yük yaratabilir.","Bugün yeni bir talep geldiğinde kapasiteni kontrol etmeden cevap verme. Gerekirse takvimine bakıp sonra dönmek için kendine izin ver.","boundaries"
"2028-11-27","tr","Bir Bilgiyi Uygulamaya Çevir","Bilmek ile kullanmak arasında küçük ama önemli bir mesafe vardır.","Bugün yakın zamanda öğrendiğin bir bilgiyi tek bir davranışa dönüştür. Not almak yerine onu gerçek bir durumda dene.","learning"
"2028-11-28","tr","Ay Sonu İçin Bir Kontrol Noktası Belirle","Hedefler yalnız ay başında yazıldığında kolayca unutulabilir.","Bugün kasımın sonuna kadar takip edeceğin tek ölçüt seç. Sayı, tarih veya tamamlanma durumu gibi net bir işaret kullan.","monthly_review"
"2028-11-29","tr","Bir Şeyi Olduğundan Büyük Anlatmama","Dilin büyüttüğü sorun, çözümü de olduğundan zor gösterebilir.","Bugün zor bir durumu anlatırken hep, asla ve her şey gibi genellemeleri fark et. Olanı daha somut ve ölçülü bir cümleyle ifade et.","perspective"
"2028-11-30","tr","Kasımı Kapanışla Bitir","Bir ayın bitişi, neyin devam edeceğine bilinçli karar vermek için iyi bir eşiktir.","Bugün kasımdan yanında götürmek istediğin bir alışkanlığı ve geride bırakmak istediğin bir yükü yaz. Aralık için yalnız bunlardan hareketle tek niyet belirle.","monthly_review"
